layer,language,mean_probability,ci95
0,en,0.0,0.0
1,en,2.144762038369663e-05,2.2244851152208867e-06
2,en,6.169523112475872e-05,8.604172762716189e-06
3,en,6.86476196278818e-05,1.2005986718577333e-05
4,en,4.201904812362045e-05,6.651021067227703e-06
5,en,4.149523374508135e-05,5.9437384152261075e-06
6,en,4.1047616832656786e-05,4.814564363186946e-06
7,en,0.00021727617422584444,0.00019249094475526363
8,en,8.056190563365817e-05,3.144380752928555e-05
9,en,4.2895237129414454e-05,1.0900687811954413e-05
10,en,4.5085715100867674e-05,9.760184184415266e-06
11,en,9.380952542414889e-05,2.4381988623645157e-05
12,en,5.193333709030412e-05,1.4967145943955984e-05
13,en,4.9895239499164745e-05,1.9462459022179246e-05
14,en,6.399999983841553e-05,1.0616470717650373e-05
15,en,7.865714724175632e-05,1.6601508832536638e-05
16,en,8.635238191345707e-05,2.0065324861207046e-05
17,en,6.786666199332103e-05,1.2629733646463137e-05
18,en,9.359998512081802e-05,1.9079958292422816e-05
19,en,0.0001778856967575848,6.449831562349573e-05
20,en,0.0012958762235939503,0.0006208694539964199
21,en,0.0012941141612827778,0.0008148023625835776
22,en,0.001625581062398851,0.0008696761797182262
23,en,0.006068752612918615,0.004534736275672913
24,en,0.18781742453575134,0.0381605438888073
25,en,0.20855361223220825,0.039527419954538345
26,en,0.27469348907470703,0.045172955840826035
27,en,0.3512437641620636,0.0491069070994854
28,en,0.30310311913490295,0.04263777285814285
29,en,0.24681511521339417,0.038777291774749756
30,en,0.13434429466724396,0.027293700724840164
31,en,0.06579332053661346,0.020051559433341026
32,en,0.00044787616934627295,0.0001256125106010586
0,zh,0.0,0.0
1,zh,4.790475941263139e-06,6.792204203520669e-07
2,zh,2.325714194739703e-05,7.081055173330242e-06
3,zh,3.924761767848395e-05,1.3788387150270864e-05
4,zh,2.8914286303916015e-05,4.70029772259295e-06
5,zh,2.9780952900182456e-05,4.090999482286861e-06
6,zh,3.86571409762837e-05,8.454315320705064e-06
7,zh,0.0002434380876366049,0.0001238592667505145
8,zh,8.420000813202932e-05,4.366087159723975e-05
9,zh,4.3961903429590166e-05,1.3090155334793963e-05
10,zh,6.228571874089539e-05,2.2834290575701743e-05
11,zh,7.3638089816086e-05,2.4467974071740173e-05
12,zh,4.2333333112765104e-05,1.2479612450988498e-05
13,zh,3.6390476452652365e-05,9.67701544141164e-06
14,zh,4.314285615691915e-05,1.4988146176619921e-05
15,zh,9.312382462667301e-05,6.926193600520492e-05
16,zh,6.476190901594236e-05,3.38543213729281e-05
17,zh,5.7304761867271736e-05,2.991092696902342e-05
18,zh,7.637143426109105e-05,2.7642039640340954e-05
19,zh,9.791427874006331e-05,3.342230775160715e-05
20,zh,0.00037714283098466694,0.00012826023157685995
21,zh,0.00035825715167447925,0.00012154542491771281
22,zh,0.00038394282455556095,0.00015985452046152204
23,zh,0.001272542984224856,0.00048483675345778465
24,zh,0.1210293397307396,0.03814327344298363
25,zh,0.12611934542655945,0.03750066086649895
26,zh,0.15314626693725586,0.039904333651065826
27,zh,0.22748853266239166,0.05394771322607994
28,zh,0.26904547214508057,0.056415777653455734
29,zh,0.31959229707717896,0.060910414904356
30,zh,0.4001923203468323,0.06433503329753876
31,zh,0.46220049262046814,0.06971559673547745
32,zh,0.5929449200630188,0.06860478222370148
0,en~,0.0,0.0
1,en~,2.123809463228099e-05,1.986656343433424e-06
2,en~,6.023809328326024e-05,8.132471521093976e-06
3,en~,6.45047621219419e-05,1.1515421647345647e-05
4,en~,3.921904863091186e-05,5.97872576690861e-06
5,en~,3.6238092434359714e-05,4.055549652548507e-06
6,en~,3.879999712808058e-05,4.553963663056493e-06
7,en~,3.7676189094781876e-05,8.643797627883032e-06
8,en~,3.1380954169435427e-05,4.873752004641574e-06
9,en~,2.0761905034305528e-05,3.012869001395302e-06
10,en~,2.8028569431626238e-05,4.677740434999578e-06
11,en~,6.281904643401504e-05,9.855226380750537e-06
12,en~,3.007619125128258e-05,5.1326692300790455e-06
13,en~,2.9238091883598827e-05,6.332238626782782e-06
14,en~,4.707618791144341e-05,7.769489457132295e-06
15,en~,5.155237522558309e-05,8.917539162212051e-06
16,en~,5.627619248116389e-05,7.518333859479753e-06
17,en~,4.204761717119254e-05,6.014008704369189e-06
18,en~,5.782857260783203e-05,1.0559403563092928e-05
19,en~,7.211428601294756e-05,2.522601789678447e-05
20,en~,3.779047619900666e-05,1.285941107198596e-05
21,en~,2.711428351176437e-05,1.1707992598530836e-05
22,en~,2.830475932569243e-05,1.240257279278012e-05
23,en~,3.6790475860470906e-05,1.2604322364495602e-05
24,en~,1.2599999536178075e-05,4.268310476618353e-06
25,en~,1.1133333828183822e-05,4.6593249862780795e-06
26,en~,1.0047619070974179e-05,4.0492868720320985e-06
27,en~,3.104762072325684e-06,1.3517280876840232e-06
28,en~,2.1047619611636037e-06,9.430185059500218e-07
29,en~,2.3523807612946257e-06,1.2350583347142674e-06
30,en~,3.4285715173609788e-06,2.03741979021288e-06
31,en~,2.4380951799685135e-06,1.1679926501528826e-06
32,en~,3.504761934891576e-06,2.1403643586381804e-06
