selection,layer,language,total_readout,inside_subspace,share
same prompt,1,en,0.01764163002371788,0.014041833579540253,0.7959487621417088
same prompt,1,zh,0.009412591345608234,0.006373787298798561,0.6771554256174597
same prompt,2,en,0.00720796175301075,0.006548706442117691,0.908537901076169
same prompt,2,zh,0.003010526765137911,0.0034310193732380867,1.1396740972276038
same prompt,3,en,0.006883374880999327,0.006499030627310276,0.9441633994466895
same prompt,3,zh,0.007091605104506016,0.0033923182636499405,0.4783569042069837
same prompt,4,en,0.001958254724740982,0.006347211543470621,3.2412594047539782
same prompt,4,zh,0.010103506967425346,0.0033202911727130413,0.32862759271785247
same prompt,5,en,0.0025914234574884176,0.005973102990537882,2.3049505758225077
same prompt,5,zh,0.011998428031802177,0.0031536738388240337,0.26284058465535076
same prompt,6,en,0.003901081159710884,0.006419515237212181,1.645573361433973
same prompt,6,zh,0.011172511614859104,0.0034698781091719866,0.3105727905046125
same prompt,7,en,0.01116110384464264,0.011599994264543056,1.0393232090669138
same prompt,7,zh,0.016428830102086067,0.007583112455904484,0.4615734905519298
same prompt,8,en,0.00607771473005414,0.006604962982237339,1.0867510693741465
same prompt,8,zh,0.012411070056259632,0.004402371123433113,0.3547132602972246
same prompt,9,en,-0.0010391782270744443,0.0031522605568170547,-3.0334166697193843
same prompt,9,zh,0.011484465561807156,0.0028119035996496677,0.24484409696877496
same prompt,10,en,0.002710724249482155,0.005405422765761614,1.994088025292223
same prompt,10,zh,0.012940971180796623,0.003609537146985531,0.27892320418283584
same prompt,11,en,0.0151270916685462,0.011271530762314796,0.7451221298375363
same prompt,11,zh,0.018924450501799583,0.006181277334690094,0.3266291580884897
same prompt,12,en,0.005493577569723129,0.006323297042399645,1.151034451074172
same prompt,12,zh,0.009697784669697285,0.004055656958371401,0.41820447622889917
same prompt,13,en,0.0040868851356208324,0.007239563390612602,1.771413472699142
same prompt,13,zh,0.012150097638368607,0.004361932631582022,0.35900391596916403
same prompt,14,en,0.008512930944561958,0.009568397887051105,1.1239839661994881
same prompt,14,zh,0.011318238452076912,0.005378157366067171,0.47517618477814205
same prompt,15,en,0.010919035412371159,0.011010268703103065,1.0083554350074313
same prompt,15,zh,0.015921279788017273,0.00598621042445302,0.3759880175561252
same prompt,16,en,0.012569243088364601,0.01293252408504486,1.0289023765493526
same prompt,16,zh,0.01402914896607399,0.0065001146867871284,0.463329222785077
same prompt,17,en,0.009801912121474743,0.011802352033555508,1.2040867013792191
