Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 1448.81it/s]
Loading weights:   0%|          | 0/426 [00:00<?, ?it/s]Loading weights: 100%|██████████| 426/426 [00:00<00:00, 6770.80it/s]
{'target': ' Ant', 'centered': False, 'normalized': False, 'layers': 'L23', 'positions': 'final', 'p6': 0.03820384293794632, 'p8': 0.8695154190063477, 'log_odds_6_vs_8': -3.125} top= 8
{'target': ' Ant', 'centered': True, 'normalized': False, 'layers': 'L23', 'positions': 'final', 'p6': 0.03820522874593735, 'p8': 0.8695470094680786, 'log_odds_6_vs_8': -3.125} top= 8
{'target': ' Ant', 'centered': True, 'normalized': False, 'layers': 'L23', 'positions': 'all', 'p6': 0.03792096674442291, 'p8': 0.8630772233009338, 'log_odds_6_vs_8': -3.125} top= 8
{'target': ' Ant', 'centered': True, 'normalized': True, 'layers': 'L23', 'positions': 'all', 'p6': 0.037918057292699814, 'p8': 0.863010823726654, 'log_odds_6_vs_8': -3.125} top= 8
{'target': 'Ant', 'centered': True, 'normalized': False, 'layers': 'L23', 'positions': 'final', 'p6': 0.033610641956329346, 'p8': 0.8668298721313477, 'log_odds_6_vs_8': -3.25} top= 8
{'target': 'Ant', 'centered': True, 'normalized': False, 'layers': 'L23', 'positions': 'all', 'p6': 0.03360806405544281, 'p8': 0.8667634725570679, 'log_odds_6_vs_8': -3.25} top= 8
{'target': 'Ant', 'centered': True, 'normalized': True, 'layers': 'L23', 'positions': 'all', 'p6': 0.03386059030890465, 'p8': 0.8732759952545166, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': False, 'normalized': False, 'layers': 'L23', 'positions': 'all', 'p6': 0.03361281380057335, 'p8': 0.8668858408927917, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': False, 'normalized': False, 'layers': 'L23-L30', 'positions': 'all', 'p6': 0.03355271369218826, 'p8': 0.8653357625007629, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': False, 'normalized': True, 'layers': 'L23', 'positions': 'final', 'p6': 0.03391144052147865, 'p8': 0.8745874762535095, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': False, 'normalized': True, 'layers': 'L23', 'positions': 'all', 'p6': 0.03361476585268974, 'p8': 0.8669362664222717, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': False, 'normalized': True, 'layers': 'L23-L30', 'positions': 'final', 'p6': 0.033603571355342865, 'p8': 0.8666476011276245, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': True, 'normalized': False, 'layers': 'L23-L30', 'positions': 'final', 'p6': 0.03356984257698059, 'p8': 0.8657777309417725, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': True, 'normalized': False, 'layers': 'L23-L30', 'positions': 'all', 'p6': 0.03367636352777481, 'p8': 0.8685248494148254, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': True, 'normalized': True, 'layers': 'L23', 'positions': 'final', 'p6': 0.03394823521375656, 'p8': 0.8755365610122681, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': True, 'normalized': True, 'layers': 'L23-L30', 'positions': 'final', 'p6': 0.033566322177648544, 'p8': 0.8656869530677795, 'log_odds_6_vs_8': -3.25} top= 8
{'target': ' Ant', 'centered': True, 'normalized': True, 'layers': 'L23-L30', 'positions': 'all', 'p6': 0.03396816924214363, 'p8': 0.8760505318641663, 'log_odds_6_vs_8': -3.25} top= 8
{'target': 'ant', 'centered': False, 'normalized': False, 'layers': 'L23', 'positions': 'final', 'p6': 0.03360069543123245, 'p8': 0.8665734529495239, 'log_odds_6_vs_8': -3.25} top= 8
{'target': 'ant', 'centered': True, 'normalized': False, 'layers': 'L23', 'positions': 'final', 'p6': 0.03360111266374588, 'p8': 0.8665841817855835, 'log_odds_6_vs_8': -3.25} top= 8
{'target': 'ant', 'centered': True, 'normalized': True, 'layers': 'L23', 'positions': 'all', 'p6': 0.033709973096847534, 'p8': 0.8693917989730835, 'log_odds_6_vs_8': -3.25} top= 8
n 288 top6 0
